SlNo,Property_Name,Property_Type,Address,Landmarks,City,State_code,Country,Carpet_area,Builtup_Area,Floor,Beds,Bathroom,Balcony,BHK_Type,Status,Furnished_status,Price_per_square_feet,Year_Built,Transaction_type,Facing,Car_Parking,Type_of_ownership,Booking_amount,Buy_total_price
5165,"2BHK Multistorey Apartment for Resale in Project Housing Board Colony at Sector 10A, Delhi Gurgaon Expressway",Apartment,"Gurgaon, Delhi N",,Gurgaon,Delhi N,India,1800,995,2,2,2,1,2,Ready to Move,Unfurnished,13065,,Resale,South -West,,Freehold,3000000,13000000
5166,"3BHK Builder Floor Apartment for New Property in Sector 73, Delhi Gurgaon Expressway",Builder Floor Apartment,"Gurgaon, Delhi N",Near Sri Chaitanya School,Gurgaon,Delhi N,India,1600,1800,4,3,3,2,3,Ready to Move,Semi-Furnished,13333,,New Property,North,,Freehold,0,24000000
5167,4BHK Multistorey Apartment for Resale in Experion Windchants at Sector 112,Apartment,"Gurgaon, Delhi N",Dwarka Expressway,Gurgaon,Delhi N,India,4800,4848,25,4,4,3,4,Ready to Move,Semi-Furnished,16502,,Resale,East,3 Covered,Freehold,800000,80000000
5168,"3BHK Builder Floor Apartment for Resale in Uppal Southend, Sector 49, Sohna Road",Builder Floor Apartment,"Gurgaon, Delhi N",Scottish Mall,Gurgaon,Delhi N,India,1525,1710,3,3,3,3,3,Ready to Move,Unfurnished,11637,,Resale,East,,Freehold,0,19900000
5169,3BHK Builder Floor Apartment for Resale in RWA Sector 57 at Sector 57,Builder Floor Apartment,"Gurgaon, Delhi N",,Gurgaon,Delhi N,India,165,2842,4,3,3,2,3,Ready to Move,Furnished,9923,,Resale,West,,,50000000,28200000
5170,2BHK Multistorey Apartment for Resale in Godrej Air at Sector 85,Apartment,"Gurgaon, Delhi N",,Gurgaon,Delhi N,India,990,1200,35,2,2,3,2,Ready to Move,Semi-Furnished,13333,,Resale,East,1 Open,Freehold,1000000,16000000
5171,2BHK Multistorey Apartment for Resale in Signature Global City 92 at Sector 92,Apartment,"Gurgaon, Delhi N",,Gurgaon,Delhi N,India,,1197,4,2,2,2,2,Ready to Move,Unfurnished,8354,,Resale,North - West,,Freehold,0,10000000
5172,3BHK Builder Floor Apartment for Resale in Ashok Vihar Phase 3 Extension,Builder Floor Apartment,"Gurgaon, Delhi NCR",,Gurgaon,Delhi NCR,India,,700,4,3,2,,3,Ready to Move,Furnished,4286,,Resale,,1 Covered,Power Of Attorney,0,3000000
5173,"2BHK Multistorey Apartment for Resale in Krishna Colony, Sector 7",Apartment,"Gurgaon, Delhi NCR","Connect to main Sector 7 ext road, near to main huda mkt sector 7 ext",Gurgaon,Delhi NCR,India,950,750,4,2,2,1,2,Ready to Move,Semi-Furnished,7733,,Resale,East,,Freehold,500000,5800000
5174,3BHK Builder Floor Apartment for Resale in Phase 2 DLF,Builder Floor Apartment,"Gurgaon, Delhi N",Sikendepur Metro Station,Gurgaon,Delhi N,India,2000,2500,4,3,4,2,3,Ready to Move,Semi-Furnished,13600,,Resale,West,"1 Covered, 1 Open",Freehold,3350000,34000000
5175,3BHK Multistorey Apartment for Resale in BPTP park prime at Sector 66,Apartment,"Gurgaon, Delhi N","AIPL Joystreet mall right outside society, 5 min walk to 2 other malls",Gurgaon,Delhi N,India,,1442,15,3,2,4,3,Ready to Move,Furnished,14910,,Resale,North - East,104 Covered,Freehold,0,21500000
5176,1BHK Multistorey Apartment for Resale in Conscient One at Dwarka Expressway,Apartment,"Gurgaon, Delhi N",,Gurgaon,Delhi N,India,528,965,12,1,1,2,1,Ready to Move,Furnished,17617,,Resale,,,,1700000,17000000
5177,1BHK Multistorey Apartment for Resale in Silverglades The Peach Tree at Sector 43,Apartment,"Gurgaon, Delhi NCR",,Gurgaon,Delhi NCR,India,800,1107,8,1,1,,1,Ready to Move,Furnished,8582,,Resale,,,,2500000,9500000
5178,"4BHK Builder Floor Apartment for Resale in Ardee City, Sector 52",Builder Floor Apartment,"Gurgaon, Delhi N",,Gurgaon,Delhi N,India,1800,2000,4,4,4,2,4,Ready to Move,Semi-Furnished,11000,,Resale,North,2 Covered,Freehold,0,22000000
5179,3BHK Multistorey Apartment for Resale in Ireo Victory Valley at Sector 67,Apartment,"Gurgaon, Delhi N",St Xaviers School,Gurgaon,Delhi N,India,2575,2677,51,3,3,3,3,Ready to Move,Semi-Furnished,18678,,Resale,North - East,"1 Covered, 1 Open",Freehold,0,50000000
5180,2BHK Multistorey Apartment for Resale in MVN Athens at Sector 5,Apartment,"Gurgaon, Delhi NCR",close to paras ekam plot near by ganga realty,Gurgaon,Delhi NCR,India,457,535,15,2,2,1,2,Ready to Move,Semi-Furnished,4299,,Resale,East,3 Open,Freehold,51000,2300000
5181,3BHK Multistorey Apartment for Resale in Maple Heights at Sector 43,Apartment,"Gurgaon, Delhi N",one room was locked,Gurgaon,Delhi N,India,800,1300,13,3,3,3,3,Ready to Move,Semi-Furnished,13846,,Resale,North - East,1 Covered,Freehold,4000000,18000000
5182,3BHK Multistorey Apartment for Resale in Eldeco Acclaim at Sohna,Apartment,"Gurgaon, Delhi N",,Gurgaon,Delhi N,India,,2122,12,3,4,4,3,Under Construction,Semi-Furnished,8011,,Resale,East,,Freehold,0,17000000
5183,3BHK Multistorey Apartment for New Property in M3M Capital at Sector 113,Apartment,"Gurgaon, Delhi N",Bang on Dwarka Expressway,Gurgaon,Delhi N,India,,1695,36,3,3,3,3,Under Construction,Semi-Furnished,14808,2019,New Property,North - East,"1 Covered, 1 Open",Freehold,100000,25100000
5184,3BHK Builder Floor Apartment for New Property in RWA Residential Society at Sector 46,Builder Floor Apartment,"Gurgaon, Delhi N",DPS school,Gurgaon,Delhi N,India,1373,1526,4,3,3,2,3,Ready to Move,Semi-Furnished,15400,2000,New Property,North - East,"1 Covered, 1 Open",Freehold,500000,23500000
5185,4BHK Builder Floor Apartment for Resale in Sushant Lok,Builder Floor Apartment,"Gurgaon, Delhi N",Near by galleria Market,Gurgaon,Delhi N,India,1900,2700,4,4,5,2,4,Ready to Move,Semi-Furnished,12963,2015,Resale,North,"2 Covered, 1 Open",Freehold,100000,35000000
5186,4BHK Builder Floor Apartment for New Property in Sector 57,Builder Floor Apartment,"Gurgaon, Delhi N",Sector 57,Gurgaon,Delhi N,India,,2700,4,4,4,3,4,Ready to Move,Semi-Furnished,9630,2013,New Property,North,2 Covered,Freehold,100000,26000000
5187,2BHK Multistorey Apartment for New Property in Godrej Meridien at Sector 106,Apartment,"Gurgaon, Delhi N","Project near to all major location like hospital, market,  school.",Gurgaon,Delhi N,India,890,1366,24,2,2,4,2,Ready to Move,Semi-Furnished,13177,2000,New Property,North - East,1 Covered,Freehold,100000,18000000
5188,2BHK Multistorey Apartment for Resale in Godrej Nature Plus at Sector 33 Sohna,Apartment,"Gurgaon, Delhi N",Opp GD Goenka World School Sohna,Gurgaon,Delhi N,India,,1385,17,2,2,2,2,Under Construction,Semi-Furnished,8087,1987,Resale,East,1 Covered,Freehold,2500000,11200000
5189,"3BHK Multistorey Apartment for New Property in Sector 37D, Delhi Gurgaon Expressway",Apartment,"Gurgaon, Delhi N","Suncity School , signature Hospital",Gurgaon,Delhi N,India,1728,2469,35,3,3,3,3,Under Construction,Semi-Furnished,15998,2011,New Property,North - East,1 Covered,Freehold,1000000,39500000
5190,2BHK Multistorey Apartment for New Property in Ashiana Mulberry Phase II at Sector 2 Sohna,Apartment,"Gurgaon, Delhi NCR",,Gurgaon,Delhi NCR,India,,1200,,2,2,,2,Oct '27,Semi-Furnished,7500,1987,New Property,,1 Covered,,0,9000000
5191,3BHK Multistorey Apartment for New Property in M3M Capital at Sector 113,Apartment,"Gurgaon, Delhi N",Asias Largest Convention Centre IICC 3 Mins Diplomatic Enclave-II 5 Mins Indias Largest Themed Park 5 Mins International Airport 5 Mins Delhis Largest Transport Hub 15 Mins International Sports Complex 15 Mins,Gurgaon,Delhi N,India,1665,1665,36,3,3,4,3,Under Construction,Semi-Furnished,16400,2007,New Property,North - East,1 Covered,Freehold,500000,27300000
5192,3BHK Builder Floor Apartment for New Property in Sushant Lok,Builder Floor Apartment,"Gurgaon, Delhi N",Huda metro station.,Gurgaon,Delhi N,India,1750,1900,4,3,4,2,3,Ready to Move,Semi-Furnished,11842,2010,New Property,North - East,2 Covered,Freehold,500000,22500000
5193,4BHK Multistorey Apartment for Resale in DLF The Magnolias at Sector 42,Apartment,"Gurgaon, Delhi N","The project is located off Golf Course Road in sector 42, Gurgaon",Gurgaon,Delhi N,India,5000,6400,25,4,5,4,4,Ready to Move,Semi-Furnished,60156,1998,Resale,North - East,3 Covered,Freehold,500000,385000000
5194,2BHK Multistorey Apartment for Resale in Tata La Vida at Sector 113,Apartment,"Gurgaon, Delhi N",La vida by tata housing is one of the most popular destination for buy,Gurgaon,Delhi N,India,,1330,14,2,2,2,2,Ready to Move,Unfurnished,13910,2018,Resale,North - East,1 Covered,Freehold,100000,18500000
5195,4BHK Multistorey Apartment for Resale in DLF The Summit at Sector 54,Apartment,"Gurgaon, Delhi N",Positioned nearby Golf Course Road.,Gurgaon,Delhi N,India,3100,3500,20,4,5,2,4,Ready to Move,Semi-Furnished,24286,2013,Resale,North - East,2 Covered,Freehold,8500000,85000000
5196,3BHK Multistorey Apartment for New Property in Godrej 101 at New Gurgaon,Apartment,"Gurgaon, Delhi N",Opulent DevelopmentSpacious Lowdensity LivingRestricted to 202 Resi,Gurgaon,Delhi N,India,1800,2262,14,3,3,4,3,Under Construction,Semi-Furnished,12821,2018,New Property,North - East,1 Covered,Freehold,500000,29000000
5197,4BHK Multistorey Apartment for Resale in M3M Capital at Sector 113,Apartment,"Gurgaon, Delhi N",M3M Capital Sector 113 Gurgaon,Gurgaon,Delhi N,India,,2298,,4,4,3,4,Under Construction,Semi-Furnished,15500,2010,Resale,East,1 Covered,Freehold,3561900,35600000
5198,4BHK Multistorey Apartment for New Property in Elan The Presidential at Sector 106,Apartment,"Gurgaon, Delhi N",near dwarka expressway,Gurgaon,Delhi N,India,,3075,32,4,5,4,4,Under Construction,Semi-Furnished,14130,2000,New Property,North - East,2 Covered,Freehold,1000000,43400000
5199,4BHK Multistorey Apartment for Resale in Salcon The Verandas at Sector 54,Apartment,"Gurgaon, Delhi N",This project bang on golf course road.,Gurgaon,Delhi N,India,3900,4495,16,4,5,4,4,Ready to Move,Unfurnished,28921,2005,Resale,East,3 Covered,Freehold,15000000,130000000
5200,3BHK Multistorey Apartment for New Property in Puri Diplomatic Residences at Sector 111,Apartment,"Gurgaon, Delhi N",,Gurgaon,Delhi N,India,1680,2380,32,3,3,4,3,Under Construction,Semi-Furnished,17429,2000,New Property,,,,500000,41400000
5201,4BHK Builder Floor Apartment for New Property in All Punjabi Welfare Association at Sector 23,Builder Floor Apartment,"Gurgaon, Delhi N","The property close to Udyog Vihar, Maruti Udyog, Amdocs  cyber city",Gurgaon,Delhi N,India,2200,2450,4,4,4,2,4,Ready to Move,Semi-Furnished,11020,1990,New Property,North - East,"1 Covered, 1 Open",Freehold,100000,27000000
5202,3BHK Multistorey Apartment for New Property in GODREJ ZENITH at Sector 89,Apartment,"Gurgaon, Delhi N","Sector 89, Gurgaon , 122004",Gurgaon,Delhi N,India,,1750,30,3,3,3,3,Under Construction,Unfurnished,15429,2017,New Property,East,1 Covered,Freehold,1000000,27000000
5203,"3BHK Multistorey Apartment for Resale in Unitech Fresco at Nirvana Country, Sector 50",Apartment,"Gurgaon, Delhi N","lotus valley school, narayana school, unitech courtyard market",Gurgaon,Delhi N,India,1825,1877,19,3,3,3,3,Ready to Move,Unfurnished,14118,2002,Resale,North - East,,Freehold,100000,26500000
5204,4BHK Builder Floor Apartment for New Property in HUDA Authority Plots at Sector 57,Builder Floor Apartment,"Gurgaon, Delhi N",hongkong mall,Gurgaon,Delhi N,India,1800,2000,4,4,4,2,4,Ready to Move,Semi-Furnished,11000,2003,New Property,South,1 Covered,Freehold,200000,22000000
5205,3BHK Builder Floor Apartment for Resale in Unitech South City II at South City 2,Builder Floor Apartment,"Gurgaon, Delhi N","Park hospital, Arcadia",Gurgaon,Delhi N,India,1550,1650,4,3,3,2,3,Ready to Move,Semi-Furnished,10606,2004,Resale,East,2 Covered,Freehold,1000000,17500000
5206,2BHK Multistorey Apartment for New Property in M3M Heights at Sector 65,Apartment,"Gurgaon, Delhi N","Near golf course road, rapid metro,",Gurgaon,Delhi N,India,,1261,40,2,2,3,2,Ready to Move,Unfurnished,17843,2010,New Property,East,,Freehold,1800000,22500000
5207,"3BHK Builder Floor Apartment for Resale in Malibu Town, Sector 47",Builder Floor Apartment,"Gurgaon, Delhi N",Well connected to all prime work and market areas and all amenities.,Gurgaon,Delhi N,India,1800,2000,4,3,3,2,3,Ready to Move,Semi-Furnished,13500,2000,Resale,North - West,2 Covered,Freehold,2000000,27000000
5208,3BHK Multistorey Apartment for Resale in Godrej Meridien at Sector 106,Apartment,"Gurgaon, Delhi N","Sector 106,Gurgaon,Delhi N",Gurgaon,Delhi N,India,1500,1855,19,3,3,3,3,Under Construction,Semi-Furnished,14825,2017,Resale,North - East,"1 Covered, 1 Open",Freehold,500000,27500000
5209,4BHK Builder Floor Apartment for New Property in South City 1,Builder Floor Apartment,"Gurgaon, Delhi N",Huda city center.,Gurgaon,Delhi N,India,2600,2800,4,4,4,3,4,Ready to Move,Unfurnished,11607,1998,New Property,North - East,,Freehold,1000000,32500000
5210,4BHK Builder Floor Apartment for New Property in Luxury Floors at Phase 2 DLF,Builder Floor Apartment,"Gurgaon, Delhi N",,Gurgaon,Delhi N,India,,4518,4,4,4,,4,Ready to Move,Semi-Furnished,12727,1950,New Property,,1 Covered,,1000000,57500000
5211,3BHK Multistorey Apartment for New Property in SS Cendana at Sector 83,Apartment,"Gurgaon, Delhi N",,Gurgaon,Delhi N,India,,1450,,3,3,3,3,Mar '29,,13103,2010,New Property,,,,0,19000000
5212,4BHK Multistorey Apartment for Resale in DLF The Arbour at Sector 63,Apartment,"Gurgaon, Delhi N","DLF The Arbour in Sector 63, Gurgaon, is an premium residential projec",Gurgaon,Delhi N,India,2800,3950,39,4,4,2,4,Under Construction,Furnished,17418,2000,Resale,East,2 Covered,Freehold,0,68800000
5213,4BHK Builder Floor Apartment for New Property in Sushant Lok Builder Floors at Sushant Lok,Builder Floor Apartment,"Gurgaon, Delhi N",Near By galleria,Gurgaon,Delhi N,India,2650,2700,4,4,4,2,4,Ready to Move,Semi-Furnished,15741,2010,New Property,East,2 Covered,Freehold,2000000,42500000
5214,3BHK Multistorey Apartment for New Property in Adani M2K Oyster Grande at Sector 102,Apartment,"Gurgaon, Delhi N",,Gurgaon,Delhi N,India,1350,1689,20,3,3,,3,Ready to Move,Unfurnished,12433,2007,New Property,,,,1500000,21000000
5215,5BHK Multistorey Apartment for Resale in Elan The Presidential at Sector 106,Apartment,"Gurgaon, Delhi N",Very neat to dwarka and infront of conscietn mall.,Gurgaon,Delhi N,India,,4095,35,5,6,5,5,Under Construction,Semi-Furnished,15873,2005,Resale,North,"2 Covered, 1 Open",Freehold,500000,65000000
5216,3BHK Multistorey Apartment for New Property in Puri Diplomatic Residences at Sector 111,Apartment,"Gurgaon, Delhi N",Near by IGI Airport,Gurgaon,Delhi N,India,,2440,,3,3,4,3,Under Construction,Semi-Furnished,18238,1994,New Property,North - East,2 Covered,Freehold,1000000,44500000
5217,3BHK Multistorey Apartment for Resale in Adani Samsara at Sector 60,Apartment,"Gurgaon, Delhi N",Near Heritage School and Sector 56 Metro station,Gurgaon,Delhi N,India,1109,1905,4,3,4,3,3,Ready to Move,Semi-Furnished,18373,2000,Resale,North - East,2 Covered,Freehold,3500000,35000000
5218,4BHK Multistorey Apartment for Resale in Emaar The Palm Springs at Golf Course Road,Apartment,"Gurgaon, Delhi N",Golf Course Road,Gurgaon,Delhi N,India,3000,3900,17,4,4,3,4,Ready to Move,Semi-Furnished,28205,1995,Resale,East,3 Covered,Freehold,500000,110000000
5219,3BHK Multistorey Apartment for Resale in ATS Marigold at Sector 89A,Apartment,"Gurgaon, Delhi N","Close to DPS International School, Aarvee Hospital etc",Gurgaon,Delhi N,India,1800,2650,24,3,4,5,3,Ready to Move,Unfurnished,10151,2012,Resale,East,2 Covered,Freehold,2100000,26900000
5220,3BHK Builder Floor Apartment for New Property in Sector 46,Builder Floor Apartment,"Gurgaon, Delhi N",Loan Facility Available Millennium City Center KIIT World School,Gurgaon,Delhi N,India,1562,1562,4,3,3,2,3,Ready to Move,Furnished,16645,2000,New Property,North - East,2 Covered,Freehold,2600000,26000000
5221,4BHK Multistorey Apartment for Resale in DLF The Arbour at Sector 63,Apartment,"Gurgaon, Delhi N",close to mall school hospital etc.,Gurgaon,Delhi N,India,2500,3950,34,4,4,4,4,Under Construction,Semi-Furnished,20253,2016,Resale,North - East,3 Covered,Freehold,1000000,80000000
5222,"4BHK Builder Floor Apartment for New Property in Unitech Deerwood at Nirvana Country, Sector 50",Builder Floor Apartment,"Gurgaon, Delhi N",club nirvana patio,Gurgaon,Delhi N,India,350,3240,4,4,5,2,4,Ready to Move,Unfurnished,15432,2019,New Property,North,2 Covered,Freehold,500000,50000000
5223,4BHK Multistorey Apartment for Resale in DLF est at Golf Course Road,Apartment,"Gurgaon, Delhi N","Golf Course Road, Sector 54",Gurgaon,Delhi N,India,3200,4000,38,4,4,4,4,Ready to Move,Semi-Furnished,50000,2010,Resale,East,3 Covered,Freehold,500000,200000000
5224,"3BHK Multistorey Apartment for Resale in BPTP Spacio at Sector 37D, Delhi Gurgaon Expressway",Apartment,"Gurgaon, Delhi N",Park Street Shopping center in close proximity,Gurgaon,Delhi N,India,1600,1800,20,3,3,3,3,Ready to Move,Unfurnished,10556,2012,Resale,North - East,"1 Covered, 1 Open",Freehold,100000,19000000
5225,3BHK Multistorey Apartment for Resale in Phase 5 DLF,Apartment,"Gurgaon, Delhi N","School, Mall, Hospital Rapid Metro.",Gurgaon,Delhi N,India,1460,1983,30,3,4,3,3,Ready to Move,Unfurnished,31266,2006,Resale,East,,Freehold,500000,62000000
5226,3BHK Multistorey Apartment for Resale in Park View Sanskruti at Sector 92,Apartment,"Gurgaon, Delhi N",Near to sapphire 90 mall and dwarka expressway,Gurgaon,Delhi N,India,1900,1995,20,3,4,3,3,Ready to Move,Semi-Furnished,10025,2000,Resale,North - East,1 Covered,Freehold,200000,20000000
5227,3BHK Builder Floor Apartment for Resale in Smartworld Orchard at Golf Course Extension Road,Builder Floor Apartment,"Gurgaon, Delhi N",The property is very close to Golf Course Road and Metro Stations.,Gurgaon,Delhi N,India,1100,1549,4,3,3,2,3,Under Construction,Semi-Furnished,14200,2007,Resale,North - East,1 Open,Freehold,216860,21900000
5228,3BHK Multistorey Apartment for Resale in Emaar Gurgaon Greens at Sector 102,Apartment,"Gurgaon, Delhi N",bang to NH8,Gurgaon,Delhi N,India,,1650,18,3,3,2,3,Ready to Move,Semi-Furnished,10000,2010,Resale,North - East,"1 Covered, 1 Open",Freehold,170000,16500000
5229,4BHK Multistorey Apartment for Resale in M3M Capital at Sector 113,Apartment,"Gurgaon, Delhi N",sec 113,Gurgaon,Delhi N,India,,2298,30,4,4,4,4,Under Construction,Semi-Furnished,15187,2010,Resale,East,,Freehold,50000,34900000
5230,3BHK Multistorey Apartment for Resale in Mapsko Casa Bella at New Gurgaon,Apartment,"Gurgaon, Delhi N",near Dwarka Experessway.,Gurgaon,Delhi N,India,1500,1690,23,3,3,3,3,Ready to Move,Semi-Furnished,8876,1979,Resale,North,1 Covered,Freehold,500000,15000000
5231,3BHK Multistorey Apartment for New Property in Trehan Luxury Floors at Golf Course Extension Road,Apartment,"Gurgaon, Delhi N","Trehan luxury floor sec 71, close to upcoming cyber hub, close shop",Gurgaon,Delhi N,India,1350,1650,3,3,3,3,3,Under Construction,Semi-Furnished,13030,2010,New Property,North - East,1 Covered,Freehold,500000,21500000
5232,"4BHK Builder Floor Apartment for New Property in Sushant Lok-I, Sector 43",Builder Floor Apartment,"Gurgaon, Delhi N",Vypar Kendra market,Gurgaon,Delhi N,India,2150,2280,4,4,4,2,4,Ready to Move,Semi-Furnished,14474,2000,New Property,North - East,3 Covered,Freehold,500000,33000000
5233,3BHK Multistorey Apartment for New Property in Dwarka Expressway,Apartment,"Gurgaon, Delhi N","near to school, market, Hospital and Airport",Gurgaon,Delhi N,India,,2100,28,3,3,3,3,Under Construction,Semi-Furnished,18000,2001,New Property,North - East,"1 Covered, 1 Open",Freehold,1500000,37800000
5234,4BHK Builder Floor Apartment for Resale in New Gurgaon,Builder Floor Apartment,"Gurgaon, Delhi N",,Gurgaon,Delhi N,India,250,2691,3,4,3,3,4,Ready to Move,Semi-Furnished,9290,,Resale,,,Freehold,0,25000000
5235,2BHK Multistorey Apartment for Resale in Antriksh Heights at Sihi Village,Apartment,"Gurgaon, Delhi NCR",In front of Euro International School. 2 Playschools upfront society.,Gurgaon,Delhi NCR,India,,1200,19,2,2,3,2,Ready to Move,Semi-Furnished,7500,,Resale,East,1 Covered,Freehold,3700000,9000000
5236,3BHK Multistorey Apartment for Resale in Godrej 101 at Sector 79,Apartment,"Gurgaon, Delhi N",,Gurgaon,Delhi N,India,1001,1669,14,3,2,3,3,Under Construction,Semi-Furnished,13301,,Resale,West,,Freehold,0,22200000
5237,2BHK Builder Floor Apartment for Resale in Sector 15,Builder Floor Apartment,"Gurgaon, Delhi N",,Gurgaon,Delhi N,India,,1000,4,2,2,2,2,Ready to Move,Unfurnished,12000,,Resale,East,,Freehold,0,12000000
5238,1BHK Multistorey Apartment for Resale in Sector 48,Apartment,"Gurgaon, Delhi NCR",,Gurgaon,Delhi NCR,India,,203,6,1,1,,1,Ready to Move,Semi-Furnished,5911,,Resale,,,,0,1200000
5239,"3BHK Multistorey Apartment for Resale in Rajendra Park, Sector 105",Apartment,"Gurgaon, Delhi NCR",,Gurgaon,Delhi NCR,India,900,1000,8,3,2,1,3,Ready to Move,Semi-Furnished,3800,,Resale,,,,0,3800000
5240,4BHK Builder Floor Apartment for Resale in Sector 31,Builder Floor Apartment,"Gurgaon, Delhi N",Star Mall,Gurgaon,Delhi N,India,2400,3400,4,4,4,4,4,Ready to Move,Unfurnished,10882,,Resale,South - East,,Freehold,0,37000000
5241,3BHK Builder Floor Apartment for Resale in Block G Sector 57,Builder Floor Apartment,"Gurgaon, Delhi N",Ryders Academy,Gurgaon,Delhi N,India,175,2160,2,3,2,1,3,Ready to Move,Semi-Furnished,11343,,Resale,North,2 Open,Freehold,0,24500000
5242,2BHK Multistorey Apartment for New Property in Sector 66,Apartment,"Gurgaon, Delhi NCR",,Gurgaon,Delhi NCR,India,,1125,17,2,2,2,2,Under Construction,Semi-Furnished,8200,,New Property,,,Freehold,0,9230000
5243,3BHK Multistorey Apartment for Resale in Orris Aster Court Premier at Sector 85,Apartment,"Gurgaon, Delhi N",,Gurgaon,Delhi N,India,,1675,12,3,3,3,3,Ready to Move,Unfurnished,8358,,Resale,,1 Covered,,0,14000000
5244,3BHK Multistorey Apartment for New Property in Dwarka Expressway,Apartment,"Gurgaon, Delhi N",M3M Cornerwalk 1 km Retail,Gurgaon,Delhi N,India,,1665,36,3,3,3,3,Under Construction,Unfurnished,13814,,New Property,,,Freehold,1500000,23000000
5245,3BHK Multistorey Apartment for Resale in Park View Sanskruti at Sector 92,Apartment,"Gurgaon, Delhi N",,Gurgaon,Delhi N,India,,1920,20,3,3,3,3,Ready to Move,Semi-Furnished,8333,,Resale,,,,0,16000000
5246,1BHK Multistorey Apartment for Resale in Central Park 1 at Sector 42,Apartment,"Gurgaon, Delhi NCR",,Gurgaon,Delhi NCR,India,325,,10,1,1,,1,Ready to Move,Semi-Furnished,,,Resale,,,Freehold,600000,6000000
5247,3BHK Builder Floor Apartment for New Property in Dharuhera,Builder Floor Apartment,"Gurgaon, Delhi NCR","Dalton cable, hero honda factory.",Gurgaon,Delhi NCR,India,,1130,4,3,2,,3,Ready to Move,Semi-Furnished,2655,,New Property,West,,Freehold,0,3000000
5248,4BHK Multistorey Apartment for New Property in M3M own Phase 1 at Sector 111,Apartment,"Gurgaon, Delhi N",,Gurgaon,Delhi N,India,,2670,18,4,4,2,4,Under Construction,Unfurnished,14981,,New Property,,,,0,40000000
5249,2BHK Builder Floor Apartment for Resale in Sector 69,Builder Floor Apartment,"Gurgaon, Delhi NCR",Near By Vatika Chowk,Gurgaon,Delhi NCR,India,800,1000,4,2,2,2,2,Ready to Move,Unfurnished,6500,,Resale,East,,Freehold,0,6500000
5250,4BHK Builder Floor Apartment for Resale in Sector 91,Builder Floor Apartment,"Gurgaon, Delhi N","Good Schools and Hospitals near by, Various markets and parks near by",Gurgaon,Delhi N,India,100,2547,4,4,4,2,4,Ready to Move,Semi-Furnished,9815,,Resale,North,,Freehold,5000000,25000000
5251,4BHK Multistorey Apartment for Resale in Brisk Lumbini Terrace Homes at Sector 109,Apartment,"Gurgaon, Delhi N",,Gurgaon,Delhi N,India,,2836,14,4,4,3,4,Ready to Move,Unfurnished,8745,,Resale,East,"1 Covered, 1 Open",Freehold,0,24800000
5252,3BHK Multistorey Apartment for Resale in Gwal Pahari,Apartment,"Gurgaon, Delhi N",,Gurgaon,Delhi N,India,,1800,18,3,4,,3,Ready to Move,Semi-Furnished,6944,,Resale,,,,0,12500000
5253,3BHK Multistorey Apartment for Resale in Sector 63,Apartment,"Gurgaon, Delhi N",,Gurgaon,Delhi N,India,,1650,15,3,2,,3,Ready to Move,Unfurnished,8364,,Resale,,,,0,13800000
5254,"3BHK Multistorey Apartment for Resale in Ansal Oriental Home at Sushant Lok 3, Sector 57",Apartment,"Gurgaon, Delhi N",,Gurgaon,Delhi N,India,1530,2160,4,3,3,2,3,Ready to Move,Furnished,11574,,Resale,North - East,,Freehold,1000000,25000000
5255,2BHK Multistorey Apartment for Resale in GLS Arawali Homes at Sector 4 Sohna,Apartment,"Gurgaon, Delhi NCR",,Gurgaon,Delhi NCR,India,550,700,14,2,2,2,2,Ready to Move,Furnished,5714,,Resale,,,,200000,4000000
5256,2BHK Builder Floor Apartment for Resale in Dron Apartment at Sector 33,Builder Floor Apartment,"Gurgaon, Delhi NCR",It is near Rajiv Chowk and near Medanta hospital and Tau devi lal park,Gurgaon,Delhi NCR,India,,810,3,2,2,2,2,Ready to Move,Semi-Furnished,4938,,Resale,,,Power Of Attorney,0,4000000
5257,2BHK Multistorey Apartment for Resale in GLS Arawali Homes at Sector 4 Sohna,Apartment,"Gurgaon, Delhi NCR",,Gurgaon,Delhi NCR,India,476,576,13,2,2,2,2,Ready to Move,Unfurnished,6016,,Resale,East,,Freehold,0,3470000
5258,3BHK Multistorey Apartment for New Property in Dwarka Expressway,Apartment,"Gurgaon, Delhi N",,Gurgaon,Delhi N,India,1550,1550,11,3,2,2,3,Under Construction,Unfurnished,10000,,New Property,East,,Freehold,0,15500000
5259,2BHK Multistorey Apartment for Resale in Sector 5 Sohna,Apartment,"Gurgaon, Delhi NCR",,Gurgaon,Delhi NCR,India,,545,14,2,2,,2,Ready to Move,Unfurnished,5505,,Resale,,,,0,3000000
5260,3BHK Builder Floor Apartment for Resale in Sushant Lok 2 Sector 55,Builder Floor Apartment,"Gurgaon, Delhi N",Sector 55-56 Rapid Metro Station,Gurgaon,Delhi N,India,,2259,4,3,3,2,3,Ready to Move,Semi-Furnished,11510,,Resale,North,"2 Covered, 1 Open",Freehold,0,26000000
5261,"3BHK Builder Floor Apartment for Resale in Rajendra Park, Sector 105",Builder Floor Apartment,"Gurgaon, Delhi NCR",,Gurgaon,Delhi NCR,India,,900,5,3,2,,3,Ready to Move,Semi-Furnished,3611,,Resale,,,,0,3250000
